DataSet                       Run      Lumi   Event     FinalBDT  Lep1            Lep2               Jet1                       Jet2                      Jet3                   Jet4                    Jet5                         Jet6
MuEG_Run2012C-PromptReco-v2   199021,  344,  424477148,  0.822,  26.9;1.14;-1.02;  27.1;-0.238;1.2;  83.3;1.76;-0.773;0.168     79.2;-0.463;1.82;0.999     68.8;-1.2;3;0.978     57;1.82;0.709;0.0377     56.4;-1.38;-2.19;0.0907     46;0.121;-0.48;1     
MuEG_Run2012A-13Jul2012-v1   191830,  155,  207207621,  0.7019,  44.5;-1.51;-1.09;  58.9;-0.732;1.7;  372;-0.805;0.65;0.00858     297;-1.19;-2.67;0.654     78;-0.616;-2.74;1     63.4;-0.177;-2.29;1     49.5;1.49;1.25;0.904     35.2;-0.802;-1.64;0.0398     
MuEG_Run2012B-13Jul2012-v1   196453,  362,  332432690,  0.697,  180;-0.72;0.598;  42.9;-0.832;-1.97;  165;-0.101;1.69;0.91     127;-2.14;-2.28;0.964     79.2;-1.33;-1.77;0.991     44.9;-1.28;1.7;0.12     37.3;-0.901;0.125;0.0354     34.3;-0.219;-1.76;0.595     
MuEG_Run2012C-PromptReco-v2   199021,  668,  788858373,  0.653,  17.3;-1.64;1.04;  80.9;-0.497;-2.47;  184;-0.127;3;0.888     149;0.148;0.743;0.0185     129;-1.56;-0.0964;1     84.3;0.386;-2.44;0.00876     30.4;0.769;0.477;0.979     
DoubleMu_Run2012C-PromptReco-v2   202178,  611,  747405583,  0.65,  55.8;0.0537;-2.61;  20.7;0.0657;0.771;  175;-0.306;-0.622;1     132;1.82;0.349;0.00642     115;0.541;2.27;1     89.1;-0.289;3.01;0.97     64.3;1.13;-3.08;0.0856     
